Collections
Data For,Amount,Employer,Contributor
Closing Collection Total,110134434156.82,9068,2735221
Collection Total,110134434156.82,9068,2735221
Penalty Total,39.24,0,0
Collection Today,25612470.42,160,3919
"Medical Treatment, Health and Maternity Protection Scheme",3161901916.65,0,0
Accident and Disability Protection Scheme,3687413368.91,0,0
Dependent Family  Protection Scheme,1144368909.13,0,0
Old Age Protection Scheme,59684860909.79,0,0
General Gratuity Fund,24686668300.52,0,0
Special Privilege Gratuity Surplus Fund,45884950.41,0,0
Addition Contribution Fund(GAP 28.33-33%),1421318740.33,0,0
Transfer from different Pension Fund,1385403810.1,0,0
Retirement Return Fund,2758127183.23,0,0
"Medical,Accident, and Dependent for Migrant Contributor",2077997554.86,0,0
Old Age Protection Fund for Migrant Contributor,3866218225.05,0,0
General Gratuity Fund for Migrant Contributor,63186919.43,0,0
"Medical, Accident and Dependent for Informal Contributor",11977870.17,0,0
Old Age Protection Fund for Informal Contributor,11604866.48,0,0
General Gratuity Fund for Informal Contributor,398705.94,0,0
Medical Scheme for Self Employed Contributor,1729213.71,0,0
Accident and Disability Protection Scheme for Self Employed Contributor,663497.4,0,0
Dependent Family  Protection Scheme for Self Employed Contributor,1260521.78,0,0
Pension Fund for Self Employed Contributor,15582289.12,0,0
Extra Gratuity Fund for Self Employed Contributor,2249027.18,0,0
Gratuity Fund for Self Employed Contributor,4866702.8,0,0
Pension Return Fund,5908576217.14,0,0
Pension Interest for Migrant Contributor,174475837.27,0,0
Gratuity Interest for Migrant Contributor,1314061.06,0,0
Pension Interest For Informal Contributor,153692.83,0,0
Gratuity Interest For Informal Contributor,3794.3,0,0
Pension Interest for Self Employed Contributor,217273.39,0,0
Gratuity Interest for Self Employed Contributor,18907.31,0,0
Discount Return for Migrant Contributor,324643.64,0,0
Discount Return for Informal Contributor,4187.6,0,0
