Registrations State Wise
Data For,Empty,State 1,State 2,Bagmati,Gandaki,Lumbini,Karnali,Sudur Paschimanchal,Total
EMPLOYER_VERIFIED,0,2180,1037,11854,1125,1720,225,285,18426
EMPLOYER_SAVED,2016,482,308,1774,255,413,105,107,5460
EMPLOYER_SUBMITTED,0,0,0,0,0,0,0,0,0
EMPLOYER_TOTAL,2016,2662,1345,13628,1380,2133,330,392,23886
CONTRIBUTOR_VERIFIED,0,57461,22388,279685,19900,20311,2565,3204,405514
CONTRIBUTOR_SAVED,0,1105,1074,17239,0,0,0,0,19418
CONTRIBUTOR_SUBMITTED,0,0,0,0,0,0,0,0,0
CONTRIBUTOR_PENDING,0,21387,10576,222911,11053,8787,920,1518,277152
CONTRIBUTOR_Migrant W. Dofe,2115110,31938,41329,13027,14111,20771,2926,3689,2242901
CONTRIBUTOR_Migrant W.,54,990,378,950,731,634,58,163,3958
CONTRIBUTOR_Migrant S/W.,2,12,10,16,8,8,3,0,59
CONTRIBUTOR_Informal W.,3,54,13,485,188,241,7,5,996
CONTRIBUTOR_Informal S/W.,1,167,109,365,128,141,29,51,991
CONTRIBUTOR_TOTAL,2115170,113114,75877,534678,46119,50893,6508,8630,2950989
Total,Employer :23886,Contributor :2950989
