Scheme,No. of Contributors,Claim Count,Total Claimed Amount,Collection Amount,Balance
Medical,145845,963194,3201812633.09,3164206834.95,-37605798.14
Accident,8115,15440,282885740.70,3688957282.91,3406071542.21
Dependent,874,37986,346585304.89,1145652954.90,799067650.01
Old Age,134547,145406,16465331447.55,95947320050.98,79481988603.43
"Medical,Accident, and Dependent for Migrant Contributor",1959,9282,28264404.58,0.00,-28264404.58
Old Age Protection Fund for Migrant Contributor,126,126,262000.60,0.00,-262000.60
"Medical, Accident and Dependent for Informal Contributor",186,677,2409923.84,0.00,-2409923.84
Medical Scheme for Self Employed Contributor,168,874,2819698.32,0.00,-2819698.32
Accident and Disability Protection Scheme for Self Employed Contributor,3,4,74416.00,0.00,-74416.00
Total,291823,1172989,20330445569.57,103946137123.74,83615691554.17
